Data and time, Laser status, Laser current power (W), Laser current, Laser set power (W), LBO status, LBO current temp (C), LBO current, LBO set temp (C), VANADATE status, VANADATE current temp (C), VANADATE current, VANADATE set temp (C), ETALON status, ETALON current temp (C), ETALON current, ETALON set temp (C), DIODE1 status, DIODE1 current temp (C), DIODE1 temp current, DIODE1 set temp (C), DIODE1 current (A), DIODE2 status, DIODE2 current temp (C), DIODE2 temp current, DIODE2 set temp (C), DIODE2 current (A), Baseplate Temp (C), Heatsink Temp 1 (C), Heatsink Temp 2 (C)
2018-05-24T13:08:19.603435, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.09, 6194.04, 147.08, OPEN, 20.08, 0.00, 30.00, LOCKED, 53.00, 1351.80, 53.00, LOCKED, 23.10, -498.17, 22.98, 0.00, LOCKED, 22.38, -574.71, 22.18, 0.00, 19.38, 24.10, 25.65
2018-05-24T13:09:28.413017, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.12, 6166.14, 147.08, OPEN, 20.07, 0.00, 30.00, LOCKED, 53.01, 1355.04, 53.00, LOCKED, 22.96, -517.45, 22.98, 0.00, LOCKED, 22.27, -584.88, 22.18, 0.00, 19.39, 24.14, 25.66
2018-05-24T13:10:37.229202, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.06, 6200.88, 147.08, OPEN, 20.10, 0.00, 30.00, LOCKED, 53.02, 1357.42, 53.00, LOCKED, 22.84, -499.00, 22.98, 0.00, LOCKED, 22.16, -577.42, 22.18, 0.00, 19.37, 24.16, 25.70
2018-05-24T13:11:46.027095, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.16, 6138.86, 147.08, OPEN, 20.08, 0.00, 30.00, LOCKED, 53.00, 1360.23, 53.00, LOCKED, 22.91, -514.46, 22.98, 0.00, LOCKED, 22.00, -575.01, 22.18, 0.00, 19.37, 24.29, 25.62
2018-05-24T13:12:54.842534, SEEKING, 0.174, 4.92, 13.0000, LOCKED, 147.07, 6228.05, 147.08, OPEN, 20.08, 0.00, 30.00, LOCKED, 53.05, 1360.68, 53.00, LOCKED, 22.96, -506.95, 22.98, 0.00, LOCKED, 21.99, -573.36, 22.18, 0.00, 19.36, 24.15, 25.63
2018-05-24T13:14:04.562668, SEEKING, 0.174, 4.92, 13.0000, LOCKED, 147.07, 6208.42, 147.08, OPEN, 20.08, 0.00, 30.00, LOCKED, 53.04, 1363.44, 53.00, LOCKED, 22.94, -512.89, 22.98, 0.00, LOCKED, 22.28, -571.01, 22.18, 0.00, 19.37, 24.16, 25.75
2018-05-24T13:15:13.330555, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.06, 6206.28, 147.08, OPEN, 20.07, 0.00, 30.00, LOCKED, 53.02, 1365.79, 53.00, LOCKED, 22.98, -505.39, 22.98, 0.00, LOCKED, 22.15, -566.61, 22.18, 0.00, 19.36, 24.22, 25.59
2018-05-24T13:16:22.146173, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.11, 6240.52, 147.08, OPEN, 20.08, 0.00, 30.00, LOCKED, 53.02, 1367.36, 53.00, LOCKED, 22.95, -503.04, 22.98, 0.00, LOCKED, 22.17, -570.81, 22.18, 0.00, 19.37, 24.18, 25.68
2018-05-24T13:17:30.962801, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.16, 6145.19, 147.08, OPEN, 20.06, 0.00, 30.00, LOCKED, 53.04, 1367.35, 53.00, LOCKED, 23.09, -519.57, 22.98, 0.00, LOCKED, 22.16, -566.34, 22.18, 0.00, 19.37, 24.09, 25.61
2018-05-24T13:18:39.727903, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.04, 6240.17, 147.08, OPEN, 20.06, 0.00, 30.00, LOCKED, 52.99, 1372.71, 53.00, LOCKED, 22.98, -507.00, 22.98, 0.00, LOCKED, 22.18, -575.12, 22.18, 0.00, 19.34, 24.23, 25.61
2018-05-24T13:19:48.527837, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.07, 6218.00, 147.08, OPEN, 20.06, 0.00, 30.00, LOCKED, 53.01, 1372.98, 53.00, LOCKED, 23.15, -509.53, 22.98, 0.00, LOCKED, 22.23, -563.88, 22.18, 0.00, 19.32, 24.12, 25.41
2018-05-24T13:20:57.337172, SEEKING, 0.174, 4.88, 13.0000, LOCKED, 147.11, 6188.63, 147.08, OPEN, 20.07, 0.00, 30.00, LOCKED, 53.05, 1374.87, 53.00, LOCKED, 22.94, -508.27, 22.98, 0.00, LOCKED, 22.18, -573.21, 22.18, 0.00, 19.36, 24.13, 25.68
2018-05-24T13:22:07.056446, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.08, 6220.12, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.04, 1375.44, 53.00, LOCKED, 22.87, -509.16, 22.98, 0.00, LOCKED, 22.22, -567.88, 22.18, 0.00, 19.34, 24.13, 25.61
2018-05-24T13:23:15.875202, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.11, 6184.63, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.04, 1378.71, 53.00, LOCKED, 23.00, -499.58, 22.98, 0.00, LOCKED, 22.07, -558.53, 22.18, 0.00, 19.31, 24.01, 25.61
2018-05-24T13:24:24.690111, SEEKING, 0.174, 4.82, 13.0000, LOCKED, 147.09, 6221.72, 147.08, OPEN, 20.07, 0.00, 30.00, LOCKED, 53.00, 1380.02, 53.00, LOCKED, 22.87, -502.51, 22.98, 0.00, LOCKED, 22.18, -553.37, 22.18, 0.00, 19.35, 23.90, 25.57
2018-05-24T13:25:33.506422, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.13, 6213.34, 147.08, OPEN, 20.04, 0.00, 30.00, LOCKED, 52.99, 1380.35, 53.00, LOCKED, 22.90, -497.36, 22.98, 0.00, LOCKED, 21.94, -565.02, 22.18, 0.00, 19.34, 24.09, 25.57
2018-05-24T13:26:42.283992, SEEKING, 0.174, 4.88, 13.0000, LOCKED, 147.12, 6220.19, 147.08, OPEN, 20.06, 0.00, 30.00, LOCKED, 53.01, 1383.92, 53.00, LOCKED, 22.99, -512.07, 22.98, 0.00, LOCKED, 22.14, -555.37, 22.18, 0.00, 19.32, 24.14, 25.48
2018-05-24T13:27:51.102773, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.18, 6195.67, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.01, 1382.82, 53.00, LOCKED, 22.96, -501.81, 22.98, 0.00, LOCKED, 22.27, -572.14, 22.18, 0.00, 19.35, 24.10, 25.40
2018-05-24T13:28:59.918258, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.05, 6215.46, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.05, 1383.52, 53.00, LOCKED, 22.83, -496.23, 22.98, 0.00, LOCKED, 22.23, -587.79, 22.18, 0.00, 19.32, 24.02, 25.50
2018-05-24T13:30:09.608765, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.15, 6225.31, 147.08, OPEN, 20.03, 0.00, 30.00, LOCKED, 53.00, 1386.41, 53.00, LOCKED, 23.00, -511.88, 22.98, 0.00, LOCKED, 22.21, -572.66, 22.18, 0.00, 19.34, 24.26, 25.52
